zone,investment_priority_score,investment_priority,investment_type,recommended_action,estimated_investment_amount,expected_roi_percent,expected_payback_months,investment_timeline,risk_level,risk_factors,key_performance_indicators,success_metrics,required_resources,growth_category,current_metrics
Kashmere Gate ISBT,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,109.07276000000002,11.001830337840538,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.25834931597128, 'volume_index': 88.30347734457324, 'revenue': 402063.0, 'market_share': 0.5586666666666666}"
Tagore Garden,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,126.43088000000012,9.491352112711697,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.23717563004505, 'volume_index': 93.67755532139094, 'revenue': 435444.0, 'market_share': 0.5926666666666667}"
Bhiwadi,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,152.2723823529412,7.880614865659659,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.2105227416023, 'volume_index': 89.35721812434141, 'revenue': 408441.0, 'market_share': 0.5653333333333334}"
Kalkaji,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,100.83752000000001,11.900332336614385,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.20423867727724, 'volume_index': 84.61538461538461, 'revenue': 386226.0, 'market_share': 0.5353333333333333}"
Udyog Vihar Phase 4,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,106.40671999999998,11.277483226623284,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 57.18559073211813, 'volume_index': 88.30347734457324, 'revenue': 396936.0, 'market_share': 0.5586666666666666}"
Chanakyapuri,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,114.38819999999996,10.490592561120817,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.1478804640053, 'volume_index': 91.99157007376184, 'revenue': 412285.0, 'market_share': 0.582}"
Gurgaon Sector 56,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,171.70135714285703,6.988878946376582,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 57.14504426478916, 'volume_index': 87.35511064278188, 'revenue': 400402.0, 'market_share': 0.5526666666666666}"
Noida Film City,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,121.56367999999993,9.871369474829987,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 56.890863298799616, 'volume_index': 93.04531085353004, 'revenue': 426084.0, 'market_share': 0.5886666666666667}"
Akshardham,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,154.02808730158722,7.790786868958506,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 56.76245208209578, 'volume_index': 88.40885142255004, 'revenue': 385633.0, 'market_share': 0.5593333333333333}"
Shahdara,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,224.70672131147538,5.340294197682809,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 56.67784942916423, 'volume_index': 86.40674394099051, 'revenue': 392220.0, 'market_share': 0.5466666666666666}"
Ghitorni,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,113.63368000000006,10.56024939084961,Medium-term (6-12 months),Medium Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 56.61208273854507, 'volume_index': 90.83245521601684, 'revenue': 410834.0, 'market_share': 0.5746666666666667}"
Noida Extension,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,108.03328000000003,11.107688297532016,Medium-term (6-12 months),Medium Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 56.53039806533396, 'volume_index': 87.14436248682824, 'revenue': 400064.0, 'market_share': 0.5513333333333333}"
Mayur Vihar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,146.8557456140353,8.171283969738761,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 56.5245483831625, 'volume_index': 91.46469968387775, 'revenue': 432947.0, 'market_share': 0.5786666666666667}"
Lok Kalyan Marg,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,119.0276399999999,10.081691949869803,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 56.46299463377812, 'volume_index': 92.72918861959958, 'revenue': 421207.0, 'market_share': 0.5866666666666667}"
Anand Vihar ISBT,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,116.81295999999996,10.272832740476746,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 56.03285694572162, 'volume_index': 87.5658587987355, 'revenue': 416948.0, 'market_share': 0.5539999999999999}"
Subhash Chowk,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,125.53128000000002,9.559370381629183,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 55.9634065944905, 'volume_index': 93.4668071654373, 'revenue': 433714.0, 'market_share': 0.5913333333333333}"
Inderlok,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,128.81871999999996,9.315416268691386,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 55.911788861955486, 'volume_index': 93.4668071654373, 'revenue': 440036.0, 'market_share': 0.5913333333333333}"
Moti Nagar,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,105.41144000000007,11.383963638102271,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 55.77483939186624, 'volume_index': 89.8840885142255, 'revenue': 395022.0, 'market_share': 0.5686666666666667}"
Punjabi Bagh,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,119.69063999999989,10.0258466326189,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 55.694707200853934, 'volume_index': 91.46469968387775, 'revenue': 422482.0, 'market_share': 0.5786666666666667}"
Dwarka Sector 21,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,127.851,9.385925804256518,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 55.53810839772415, 'volume_index': 96.31190727081136, 'revenue': 438175.0, 'market_share': 0.6093333333333334}"
GTB Nagar,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,115.01999999999998,10.432968179447053,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 55.21162653545382, 'volume_index': 91.88619599578504, 'revenue': 413500.0, 'market_share': 0.5813333333333334}"
Netaji Subhash Place,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,118.7230625,10.107555977171664,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 55.11622450996742, 'volume_index': 87.46048472075869, 'revenue': 388841.0, 'market_share': 0.5533333333333333}"
Ghitorni Village,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,92.01988000000001,13.040660344264738,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 55.10405213793533, 'volume_index': 83.245521601686, 'revenue': 369269.0, 'market_share': 0.5266666666666667}"
South Extension,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,107.06868000000004,11.207759355957311,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.957562922395965, 'volume_index': 88.93572181243414, 'revenue': 398209.0, 'market_share': 0.5626666666666666}"
Janakpuri,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,109.83507999999995,10.925471170048771,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.91178356227254, 'volume_index': 89.35721812434141, 'revenue': 403529.0, 'market_share': 0.5653333333333334}"
Karol Bagh,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,113.36276000000001,10.585486803602874,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 54.840420967561904, 'volume_index': 91.5700737618546, 'revenue': 410313.0, 'market_share': 0.5793333333333334}"
Lal Quila,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,143.2372380952381,8.37770970703947,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.436948924595285, 'volume_index': 87.14436248682824, 'revenue': 387948.0, 'market_share': 0.5513333333333333}"
Delhi Gate,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,110.24692000000005,10.884657820826192,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.25113817148866, 'volume_index': 89.98946259220232, 'revenue': 404321.0, 'market_share': 0.5693333333333334}"
Green Park,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,101.34035999999999,11.841284163584973,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.23727711198792, 'volume_index': 88.72497365648051, 'revenue': 387193.0, 'market_share': 0.5613333333333334}"
Jor Bagh,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,120.69371999999998,9.942522278706797,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 54.235773937244176, 'volume_index': 93.15068493150685, 'revenue': 424411.0, 'market_share': 0.5893333333333334}"
Ashok Vihar,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,158.61185593220335,7.565638728248189,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.13049631773992, 'volume_index': 83.8777660695469, 'revenue': 386281.0, 'market_share': 0.5306666666666667}"
Ghaziabad,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,113.21352000000002,10.599440773504789,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.1124507600893, 'volume_index': 89.67334035827187, 'revenue': 410026.0, 'market_share': 0.5673333333333334}"
India Gate,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,118.504,10.126240464456895,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.05326145692881, 'volume_index': 91.46469968387775, 'revenue': 420200.0, 'market_share': 0.5786666666666667}"
New Delhi Railway Station,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,108.34735999999998,11.075489056678446,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 54.0363035450315, 'volume_index': 89.2518440463646, 'revenue': 400668.0, 'market_share': 0.5646666666666667}"
Kashmere Gate,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,101.80316000000002,11.787453356064777,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 53.86434691298263, 'volume_index': 87.98735511064278, 'revenue': 388083.0, 'market_share': 0.5566666666666666}"
Subhash Nagar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,121.44356000000005,9.88113326058623,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 53.372173879509816, 'volume_index': 90.72708113804003, 'revenue': 425853.0, 'market_share': 0.5740000000000001}"
Moolchand,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,105.14416000000004,11.412902057517977,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 53.371425566326806, 'volume_index': 89.35721812434141, 'revenue': 394508.0, 'market_share': 0.5653333333333334}"
Kanhaiya Nagar,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,118.8716399999999,10.094922556801615,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 53.25380196115185, 'volume_index': 94.30979978925184, 'revenue': 420907.0, 'market_share': 0.5966666666666667}"
Barakhamba Road,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,139.40071999999998,8.608276915642904,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 53.2533134295881, 'volume_index': 99.68387776606956, 'revenue': 460386.0, 'market_share': 0.6306666666666667}"
Cyber Hub,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,113.80424000000001,10.544422597962956,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 53.054893928318165, 'volume_index': 91.04320337197048, 'revenue': 411162.0, 'market_share': 0.5760000000000001}"
Kirti Nagar,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,104.83840000000002,11.446187656431228,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 52.60595462857432, 'volume_index': 87.14436248682824, 'revenue': 393920.0, 'market_share': 0.5513333333333333}"
Raj Nagar Extension,62.54545454545455,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,112.41583999999997,10.674652255411694,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 52.53513480754483, 'volume_index': 89.04109589041096, 'revenue': 408492.0, 'market_share': 0.5633333333333334}"
Aya Nagar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,113.73247999999998,10.551075646991961,Medium-term (6-12 months),Medium Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 52.47739485243308, 'volume_index': 91.6754478398314, 'revenue': 411024.0, 'market_share': 0.58}"
Jama Masjid,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,117.99388000000013,10.170018987425438,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 52.34089114207171, 'volume_index': 89.46259220231822, 'revenue': 419219.0, 'market_share': 0.5660000000000001}"
Pulbangash,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,111.22764000000001,10.78868525844835,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 51.94412769891976, 'volume_index': 90.62170706006324, 'revenue': 406207.0, 'market_share': 0.5733333333333334}"
Kherki Daula Toll,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,112.73407999999996,10.644518498753886,Short-term (3-6 months),Medium Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 51.82440942568967, 'volume_index': 86.82824025289779, 'revenue': 409104.0, 'market_share': 0.5493333333333333}"
Vishwavidyalaya,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,123.76691999999994,9.695644038003051,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 51.59897518250504, 'volume_index': 94.30979978925184, 'revenue': 430321.0, 'market_share': 0.5966666666666667}"
Tilak Nagar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,123.97388000000011,9.679458285890535,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 51.48738410007637, 'volume_index': 94.83667017913592, 'revenue': 430719.0, 'market_share': 0.6}"
Saidulajab,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,122.56415999999992,9.790790390926684,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 51.39520340845729, 'volume_index': 90.83245521601684, 'revenue': 428008.0, 'market_share': 0.5746666666666667}"
Khan Market,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,107.60428000000002,11.151972765395577,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 50.45232763776857, 'volume_index': 87.67123287671232, 'revenue': 399239.0, 'market_share': 0.5546666666666666}"
Noida Sector 62,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,102.33512,11.726179634127561,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 50.434716671529536, 'volume_index': 87.88198103266596, 'revenue': 389106.0, 'market_share': 0.5559999999999999}"
Badshahpur,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,117.68447999999998,10.196756615655694,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 50.40856662967119, 'volume_index': 91.46469968387775, 'revenue': 418624.0, 'market_share': 0.5786666666666667}"
Vasant Kunj,61.18181818181818,Medium-High Priority,Optimization Investment,Strong presence - optimize pricing and improve service quality,50000,114.75999999999999,10.456605088881142,Short-term (3-6 months),High Risk,Low market share; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,10% cost reduction; 5% efficiency improvement; Higher customer ratings,Process improvement team; Training resources; Technology upgrades,Stable,"{'growth_index': 49.89728546896808, 'volume_index': 91.99157007376184, 'revenue': 413000.0, 'market_share': 0.582}"
Laxmi Nagar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,92.76504000000003,12.93590775145464,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 49.78726485895412, 'volume_index': 83.9831401475237, 'revenue': 370702.0, 'market_share': 0.5313333333333333}"
Nirman Vihar,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,116.63980000000005,10.28808348436811,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 49.33674413093989, 'volume_index': 89.14646996838778, 'revenue': 416615.0, 'market_share': 0.5640000000000001}"
Vaishali,58.45454545454545,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,109.77788,10.93116391025223,Medium-term (6-12 months),High Risk,High growth volatility; Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 48.8721095458833, 'volume_index': 91.5700737618546, 'revenue': 403419.0, 'market_share': 0.5793333333333334}"
Sonipat,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,100.21559999999998,11.97418366002898,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 48.81839347952543, 'volume_index': 90.30558482613276, 'revenue': 385030.0, 'market_share': 0.5713333333333334}"
Shastri Nagar,59.81818181818182,Medium Priority,Maintenance & Improvement,Strong presence - optimize pricing and improve service quality,50000,121.64999999999999,9.864364981504316,Medium-term (6-12 months),High Risk,Low market share; Inconsistent growth; Negative recent growth,Ride volume; Revenue growth; Customer satisfaction,Maintain current growth rate; Improve operational efficiency; Enhance customer experience,Standard operational resources,Stable,"{'growth_index': 48.71930610893914, 'volume_index': 91.46469968387775, 'revenue': 426250.0, 'market_share': 0.5786666666666667}"
